52495 104.5 40.75  1329 144
   pressure   height   temperature   dew_point   w_direct   w_speed
     864     1329     15.4    -10.6      355        9 
     850     1425     14.2    -13.8      340       12 
     793     9999      8.8    -14.2     9999     9999 
     784     9999      8.6    -14.4     9999     9999 
     738     9999      5.0    -15.0     9999     9999 
     700     3024      0.8    -12.2      285       15 
     613     9999     -9.1    -12.1     9999     9999 
     585     9999    -11.5    -12.5     9999     9999 
     583     9999    -10.9    -11.9     9999     9999 
     578     9999    -10.9    -12.9     9999     9999 
     555     9999    -12.5    -14.5     9999     9999 
     538     9999    -13.1    -16.1     9999     9999 
     505     9999    -16.5    -18.5     9999     9999 
     500     5630    -16.9    -18.9      295       39 
     485     9999    -18.1    -22.1     9999     9999 
     414     9999    -26.7    -31.7     9999     9999 
     400     7260    -28.7    -34.7      285       41 
     364     9999    -34.3    -39.3     9999     9999 
     321     9999    -42.3    -46.3     9999     9999 
     300     9250    -45.9    -49.9      285       45 
     278     9999    -50.9    -54.9     9999     9999 
     250    10430    -56.7    -60.7      290       47 
     249     9999    -57.1    -61.1     9999     9999 
     235     9999    -59.7    -63.7     9999     9999 
