59981 112.33 16.83 5.9 1422
   pressure   height   temperature   dew_point   w_direct   w_speed
   1005.7   0.6   29.3   27.1   202   7.3
   1005.7   0.6   29.3   27.1   202   7.3
   1005.7   0.6   29.3   27.1   202   7.3
   1000   5.7   28.7   25.9   202   7.6
   999.5   6.2   28.5   25.6   202   7.6
   989   15.4   27.7   25.3   201   8
   957.9   44.7   25.1   23.6   210   7.2
   957   45.8   25.3   23.4   210   7.2
   952.9   49.8   25.7   23   214   6.9
   949   53.4   26.7   21.5   217   6.6
   933.6   67.1   27.1   18.7   229   5.5
   925   74.9   26.7   18.7   236   4.9
   922.9   76.4   26.6   18.6   237   4.8
   913.2   85.6   26   17.9   240   4.6
   900.3   98.9   26.1   15.9   245   4.4
   887.2   111.0   25.1   15.5   249   4.2
   872.5   126.0   23.9   15   246   4.2
   866.1   132.3   23.1   16.3   245   4.2
   853.3   145.6   22.7   14   242   4.2
   850.2   149.0   22.6   13.7   241   4.1
   850   149.2   22.6   13.8   241   4.1
   842.6   156.3   21.8   16   238   3.9
   819.3   179.2   19.6   15.5   228   3.4
   819.3   179.3   19.6   15.5   228   3.4
   809.3   189.9   18.9   15   229   3.4
   787.4   212.9   17.8   12   230   3.4
   784.2   216.8   17.7   11.1   230   3.5
   775.7   225.7   16.9   11.5   228   3.7
   771.4   230.2   16.8   10   228   3.8
   761.2   242.0   15.9   9.5   227   4
   756.3   247.6   15.8   9.3   226   4.2
   750.5   254.3   16.1   7.3   225   4.5
   745.6   259.9   16.1   6.7   224   4.8
   738.6   268.3   16.2   2.2   223   5.2
   728.8   280.1   15.5   3.2   221   5.8
   725   284.5   15.1   3.1   222   5.7
   719.2   291.2   14.8   1   223   5.6
   702.5   311.9   13.4   1.3   226   5.1
   701.3   313.7   13.4   1.2   226   5
   700   315.2   13.3   1.1   227   5
   685.4   333.4   12.3   -1.5   235   4.6
   674.4   347.7   11.3   -2.2   242   4.3
   657.7   368.0   9.8   -2.2   229   2.8
   653.7   373.7   9.6   -3.6   226   2.4
   647.7   381.1   9.2   -1.6   221   1.8
   647.4   381.7   9.2   -1.7   221   1.8
   640.1   391.3   8.6   -3.9   222   1.6
   631.7   402.0   7.8   -2.6   222   1.5
   621   415.7   6.9   -4.9   223   1.3
   619.3   418.5   6.7   -5.3   232   1.2
   600   443.0   4.7   -6   313   0.8
   594.8   449.9   4.2   -6.4   335   0.7
   569.6   485.0   1.5   -9   338   2.5
   568.6   486.1   1.4   -9.1   338   2.5
   558.4   500.2   0.4   -12.7   336   2.3
   555.8   504.8   0   -12   336   2.2
   545.6   520.1   -1.1   -10.8   334   2
   545.1   520.7   -1.2   -10.8   336   2
   541.3   525.4   -1.5   -12.7   351   1.8
   539.5   528.3   -1.6   -14.2   360   1.7
   533.7   537.1   -2   -14.5   28   1.4
   524.8   550.5   -2.7   -12.4   71   0.9
   522.3   555.3   -2.9   -13.2   86   0.8
   516.8   562.8   -3.2   -16.4   95   1.2
